;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 1991;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Outro escoadouro;Não sabe o tipo de escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
TOTAL;46.774.309;24.431.706;39.952.749;5.194.926;5.302.161;301.983;23.699.972;145.657.806;
110001 ALTA FLORESTA D'OESTE;-;1.102;16.844;47;21;31;13.825;31.870;
110002 ARIQUEMES;-;5.850;58.491;154;86;172;18.455;83.208;
110003 CABIXI;-;798;4.080;43;7;-;3.136;8.064;
110004 CACOAL;-;28.703;32.613;752;195;19;16.470;78.752;
110005 CEREJEIRAS;-;6.049;12.965;114;13;-;2.374;21.515;
110006 COLORADO DO OESTE;-;3.704;19.083;1.539;148;9;14.376;38.859;
110008 COSTA MARQUES;-;1.503;5.746;73;2;3;2.837;10.164;
110009 ESPIGAO D'OESTE;-;6.705;9.054;108;19;-;7.081;22.967;
110010 GUAJARA-MIRIM;214;12.455;16.854;157;30;54;2.547;32.311;
110011 JARU;-;4.907;32.521;2.914;371;12;22.632;63.357;
110012 JI-PARANA;-;33.168;33.913;1.889;1.284;833;26.026;97.113;
110013 MACHADINHO D'OESTE;-;147;6.939;849;94;48;8.293;16.370;
110014 NOVA BRASILANDIA D'OESTE;-;56;9.671;-;58;-;5.963;15.748;
110015 OURO PRETO DO OESTE;-;16.084;32.212;130;886;18;33.810;83.140;
110018 PIMENTA BUENO;-;15.943;18.523;253;251;4;13.333;48.307;
110020 PORTO VELHO;2.515;147.588;93.985;8.971;2.723;1.042;28.315;285.139;
110025 PRESIDENTE MEDICI;-;5.534;13.962;179;16;147;10.153;29.991;
110028 ROLIM DE MOURA;-;2.864;38.506;465;254;32;17.364;59.485;
110029 SANTA LUZIA D'OESTE;-;215;6.727;25;33;-;5.262;12.262;
110030 VILHENA;-;2.642;34.153;60;12;2;2.106;38.975;
110032 SAO MIGUEL DO GUAPORE;-;646;6.838;72;9;9;11.579;19.153;
110033 NOVA MAMORE;-;1.009;4.044;9;-;-;2.080;7.142;
110034 ALVORADA D'OESTE;-;2.506;8.281;1.687;21;7;8.454;20.956;
120005 ASSIS BRASIL;-;157;1.368;62;12;-;1.305;2.904;
