;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 2010;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Rio, lago ou mar;Outro escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
TOTAL;100.026.359;22.190.838;49.071.550;5.205.611;4.190.465;2.996.955;5.779.618;189.461.396;
110001 ALTA FLORESTA D'OESTE;60;563;21.445;346;102;747;791;24.054;
110002 ARIQUEMES;1.007;6.695;80.527;241;119;586;460;89.635;
110003 CABIXI;6;1.388;4.778;16;4;56;50;6.298;
110004 CACOAL;29.822;11.246;34.797;1.002;326;465;624;78.282;
110005 CEREJEIRAS;16;2.877;13.886;31;-;48;76;16.934;
110006 COLORADO DO OESTE;81;884;16.673;301;215;225;145;18.524;
110007 CORUMBIARA;22;951;7.309;92;-;59;193;8.626;
110008 COSTA MARQUES;14;1.088;9.154;849;-;2.097;264;13.466;
110009 ESPIGAO D'OESTE;93;3.803;21.510;1.306;853;709;264;28.538;
110010 GUAJARA-MIRIM;2.969;5.222;22.556;2.693;111;5.409;1.052;40.012;
110011 JARU;408;1.275;46.639;687;775;1.480;475;51.739;
110012 JI-PARANA;3.834;19.563;86.683;1.651;2.532;887;590;115.740;
110013 MACHADINHO D'OESTE;42;596;28.194;395;6;373;1.390;30.996;
110014 NOVA BRASILANDIA D'OESTE;27;710;17.831;168;6;388;515;19.645;
110015 OURO PRETO DO OESTE;367;3.381;31.516;396;1.256;533;236;37.685;
110018 PIMENTA BUENO;2.568;10.160;19.291;1.118;71;196;150;33.554;
110020 PORTO VELHO;39.748;140.036;214.491;10.337;4.448;6.823;4.026;419.909;
110025 PRESIDENTE MEDICI;170;205;20.999;218;7;381;219;22.199;
110026 RIO CRESPO;-;753;2.417;14;19;7;75;3.285;
110028 ROLIM DE MOURA;291;7.058;39.938;360;985;1.344;254;50.230;
110029 SANTA LUZIA D'OESTE;100;77;8.173;90;11;201;184;8.836;
110030 VILHENA;842;9.159;64.748;306;3;220;194;75.472;
110032 SAO MIGUEL DO GUAPORE;49;2.194;17.524;157;1;1.350;424;21.699;
110033 NOVA MAMORE;14;1.803;17.413;879;8;1.299;890;22.306;
110034 ALVORADA D'OESTE;4.868;1.054;9.936;300;3;327;189;16.677;
