;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Proporção de pessoas com baixa renda - Brasil;;;
% população com renda < 1/2 SM segundo Município;;;
Período: 2010;;;
Município;% população com renda < 1/2 SM;;
Fonte: IBGE - Censos Demográficos;;;
Notas:;;;
;;;
1. O salário mínimo do último ano para o qual a série está sendo calculada torna-se a referência para toda a série. Esse valor é corrigido para todos com base no INPC de julho de 2010, alterando o valor da linha de pobreza e consequentemente a proporção de pobres. Nesta tabela, o valor de referência, salário mínimo de 2010, é de R$ 510,00.;;;
;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
TOTAL;34,67;;
110001 ALTA FLORESTA D'OESTE;48,42;;
110002 ARIQUEMES;31,05;;
110003 CABIXI;48,17;;
110004 CACOAL;32,1;;
110005 CEREJEIRAS;36,99;;
110006 COLORADO DO OESTE;40,26;;
110007 CORUMBIARA;46,47;;
110008 COSTA MARQUES;57,4;;
110009 ESPIGAO D'OESTE;37,43;;
110010 GUAJARA-MIRIM;46,22;;
110011 JARU;34,24;;
110012 JI-PARANA;28,65;;
110013 MACHADINHO D'OESTE;52,78;;
110014 NOVA BRASILANDIA D'OESTE;48,05;;
110015 OURO PRETO DO OESTE;31,92;;
110018 PIMENTA BUENO;26,73;;
110020 PORTO VELHO;25,3;;
110025 PRESIDENTE MEDICI;41,11;;
110026 RIO CRESPO;54,5;;
110028 ROLIM DE MOURA;33,41;;
110029 SANTA LUZIA D'OESTE;41,21;;
110030 VILHENA;23,41;;
110032 SAO MIGUEL DO GUAPORE;54,43;;
110033 NOVA MAMORE;54,2;;
110034 ALVORADA D'OESTE;45,33;;
110037 ALTO ALEGRE DOS PARECIS;56,22;;
110040 ALTO PARAISO;44,7;;
110045 BURITIS;43,03;;
110050 NOVO HORIZONTE DO OESTE;56,53;;
110060 CACAULANDIA;45,69;;
110070 CAMPO NOVO DE RONDONIA;54,88;;
110080 CANDEIAS DO JAMARI;39,53;;
110090 CASTANHEIRAS;41,68;;
110092 CHUPINGUAIA;38,35;;
110094 CUJUBIM;41,39;;
110100 GOVERNADOR JORGE TEIXEIRA;55,12;;
110110 ITAPUA DO OESTE;45,55;;
110120 MINISTRO ANDREAZZA;49,57;;
110130 MIRANTE DA SERRA;48,94;;
