;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Taxa de analfabetismo - Brasil;;;
Taxa de analfabetismo segundo Município;;;
Período: 1991;;;
Município;Taxa de analfabetismo;;
Fonte: IBGE - Censos Demográficos;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
TOTAL;19,3;;
110001 ALTA FLORESTA D'OESTE;22;;
110002 ARIQUEMES;18,7;;
110003 CABIXI;21,5;;
110004 CACOAL;21,7;;
110005 CEREJEIRAS;20,8;;
110006 COLORADO DO OESTE;25,9;;
110008 COSTA MARQUES;23;;
110009 ESPIGAO D'OESTE;20,4;;
110010 GUAJARA-MIRIM;15,8;;
110011 JARU;25,1;;
110012 JI-PARANA;16,4;;
110013 MACHADINHO D'OESTE;23,2;;
110014 NOVA BRASILANDIA D'OESTE;30;;
110015 OURO PRETO DO OESTE;25,5;;
110018 PIMENTA BUENO;20,9;;
110020 PORTO VELHO;13,2;;
110025 PRESIDENTE MEDICI;27,8;;
110028 ROLIM DE MOURA;23,2;;
110029 SANTA LUZIA D'OESTE;25,8;;
110030 VILHENA;13,6;;
110032 SAO MIGUEL DO GUAPORE;27,3;;
110033 NOVA MAMORE;33,7;;
110034 ALVORADA D'OESTE;26,2;;
120005 ASSIS BRASIL;30,2;;
120010 BRASILEIA;36,9;;
120020 CRUZEIRO DO SUL;45;;
120030 FEIJO;58,4;;
120033 MANCIO LIMA;51,3;;
120034 MANOEL URBANO;61;;
120038 PLACIDO DE CASTRO;36,8;;
120040 RIO BRANCO;21,7;;
120045 SENADOR GUIOMARD;34,4;;
120050 SENA MADUREIRA;51,8;;
120060 TARAUACA;63,8;;
120070 XAPURI;47,1;;
130002 ALVARAES;46,6;;
130006 AMATURA;42,5;;
130008 ANAMA;35,3;;
130010 ANORI;44,5;;
130014 APUI;31,9;;
130020 ATALAIA DO NORTE;68,1;;
130030 AUTAZES;30;;
130040 BARCELOS;40,6;;
130050 BARREIRINHA;24;;
130060 BENJAMIN CONSTANT;43;;
130063 BERURI;56,8;;
130068 BOA VISTA DO RAMOS;24,8;;
130070 BOCA DO ACRE;53,9;;
130080 BORBA;38,8;;
130083 CAAPIRANGA;46,9;;
130090 CANUTAMA;62,3;;
130100 CARAUARI;64,5;;
130110 CAREIRO;51,5;;
130115 CAREIRO DA VARZEA;35,8;;
130120 COARI;46,5;;
130130 CODAJAS;48,9;;
130140 EIRUNEPE;58,1;;
130150 ENVIRA;78;;
130160 FONTE BOA;53,1;;
130165 GUAJARA;63,1;;
130170 HUMAITA;50,8;;
130180 IPIXUNA;65,6;;
130185 IRANDUBA;27,9;;
130190 ITACOATIARA;19,6;;
130195 ITAMARATI;86,2;;
130200 ITAPIRANGA;13,5;;
130210 JAPURA;72,9;;
130220 JURUA;62,4;;
