TOTAL;12,8;;
110001 ALTA FLORESTA D'OESTE;14,8;;
110002 ARIQUEMES;11,1;;
110003 CABIXI;16,8;;
110004 CACOAL;11,5;;
110005 CEREJEIRAS;12,4;;
110006 COLORADO DO OESTE;13,2;;
110007 CORUMBIARA;17,7;;
110008 COSTA MARQUES;15,6;;
110009 ESPIGAO D'OESTE;14,7;;
110010 GUAJARA-MIRIM;10,6;;
110011 JARU;14,7;;
110012 JI-PARANA;10,7;;
110013 MACHADINHO D'OESTE;17,2;;
110014 NOVA BRASILANDIA D'OESTE;14,9;;
110015 OURO PRETO DO OESTE;13,6;;
110018 PIMENTA BUENO;12,2;;
110020 PORTO VELHO;7,7;;
110025 PRESIDENTE MEDICI;16,9;;
110026 RIO CRESPO;15,3;;
110028 ROLIM DE MOURA;13,8;;
110029 SANTA LUZIA D'OESTE;17,7;;
110030 VILHENA;8,8;;
110032 SAO MIGUEL DO GUAPORE;15,8;;
110033 NOVA MAMORE;17,2;;
110034 ALVORADA D'OESTE;16,1;;
110037 ALTO ALEGRE DOS PARECIS;17,4;;
110040 ALTO PARAISO;17;;
110045 BURITIS;13,4;;
110050 NOVO HORIZONTE DO OESTE;16,9;;
110060 CACAULANDIA;11,5;;
110070 CAMPO NOVO DE RONDONIA;16,3;;
110080 CANDEIAS DO JAMARI;14,6;;
110090 CASTANHEIRAS;14,1;;
110092 CHUPINGUAIA;14,6;;
110094 CUJUBIM;18,3;;
110100 GOVERNADOR JORGE TEIXEIRA;19,3;;
110110 ITAPUA DO OESTE;17,5;;
110120 MINISTRO ANDREAZZA;19,7;;
110130 MIRANTE DA SERRA;18,6;;
110140 MONTE NEGRO;15,6;;
110143 NOVA UNIAO;17,1;;
110145 PARECIS;19,8;;
110146 PIMENTEIRAS DO OESTE;13,6;;
110147 PRIMAVERA DE RONDONIA;16,1;;
110148 SAO FELIPE D'OESTE;16,7;;
110149 SAO FRANCISCO DO GUAPORE;15,2;;
110150 SERINGUEIRAS;15;;
110155 TEIXEIROPOLIS;17,4;;
110160 THEOBROMA;17,7;;
110170 URUPA;16,1;;
110175 VALE DO ANARI;19,5;;
110180 VALE DO PARAISO;15;;
120001 ACRELANDIA;28,7;;
120005 ASSIS BRASIL;27,9;;
120010 BRASILEIA;24;;
120013 BUJARI;37,6;;
120017 CAPIXABA;39,1;;
120020 CRUZEIRO DO SUL;26,4;;
120025 EPITACIOLANDIA;23,4;;
120030 FEIJO;56,5;;
120032 JORDAO;62,3;;
120033 MANCIO LIMA;29,5;;
120034 MANOEL URBANO;44,2;;
120035 MARECHAL THAUMATURGO;51,8;;
120038 PLACIDO DE CASTRO;24,5;;
120039 PORTO WALTER;52,6;;
120040 RIO BRANCO;12,8;;
120042 RODRIGUES ALVES;50,7;;
120043 SANTA ROSA DO PURUS;62,6;;
120045 SENADOR GUIOMARD;24,8;;
120050 SENA MADUREIRA;32,1;;
120060 TARAUACA;42,6;;
120070 XAPURI;28,1;;
120080 PORTO ACRE;28,9;;
130002 ALVARAES;25,7;;
130006 AMATURA;25;;
130008 ANAMA;24,6;;
130010 ANORI;25,6;;
130014 APUI;18;;
130020 ATALAIA DO NORTE;50,6;;
130030 AUTAZES;18,9;;
130040 BARCELOS;41,2;;
130050 BARREIRINHA;14,8;;
130060 BENJAMIN CONSTANT;28,4;;
130063 BERURI;40,1;;
130068 BOA VISTA DO RAMOS;10,7;;
130070 BOCA DO ACRE;35,3;;
130080 BORBA;22,8;;
130083 CAAPIRANGA;24,8;;
130090 CANUTAMA;40,2;;
130100 CARAUARI;42,2;;
130110 CAREIRO;25,6;;
130115 CAREIRO DA VARZEA;21,6;;
130120 COARI;28,6;;
130130 CODAJAS;26,8;;
130140 EIRUNEPE;45,3;;
130150 ENVIRA;53,4;;
130160 FONTE BOA;40,6;;
130165 GUAJARA;48,2;;
130170 HUMAITA;24,8;;
130180 IPIXUNA;50,6;;
130185 IRANDUBA;19,8;;
130190 ITACOATIARA;11,8;;
130195 ITAMARATI;60;;
130200 ITAPIRANGA;8,3;;
130210 JAPURA;42,4;;
130220 JURUA;36,5;;
130230 JUTAI;43,4;;
130240 LABREA;41,8;;
130250 MANACAPURU;20,4;;
130255 MANAQUIRI;21,5;;
130260 MANAUS;5,6;;
130270 MANICORE;29,7;;
130280 MARAA;42,3;;
130290 MAUES;13,3;;
130300 NHAMUNDA;15;;
130310 NOVA OLINDA DO NORTE;25,4;;
130320 NOVO AIRAO;20,1;;
130330 NOVO ARIPUANA;25,8;;
130340 PARINTINS;10,3;;
130350 PAUINI;51,7;;
130353 PRESIDENTE FIGUEIREDO;11,5;;
130356 RIO PRETO DA EVA;18,3;;
130360 SANTA ISABEL DO RIO NEGRO;37;;
130370 SANTO ANTONIO DO ICA;40,4;;
130380 SAO GABRIEL DA CACHOEIRA;26,7;;
130390 SAO PAULO DE OLIVENCA;42,6;;
130395 SAO SEBASTIAO DO UATUMA;12,3;;
130400 SILVES;12,4;;
130406 TABATINGA;22,4;;
130410 TAPAUA;45,2;;
130420 TEFE;20,2;;
130423 TONANTINS;29,3;;
130426 UARINI;32,1;;
130430 URUCARA;12,5;;
130440 URUCURITUBA;12,7;;
140002 AMAJARI;14,3;;
140005 ALTO ALEGRE;21;;
140010 BOA VISTA;7,8;;
140015 BONFIM;20,2;;
140017 CANTA;22,2;;
140020 CARACARAI;16,1;;
140023 CAROEBE;22,7;;
140028 IRACEMA;17,3;;
140030 MUCAJAI;21,5;;
140040 NORMANDIA;23,5;;
140045 PACARAIMA;12,3;;
140047 RORAINOPOLIS;21,3;;
140050 SAO JOAO DA BALIZA;15,1;;
140060 SAO LUIZ;20,4;;
140070 UIRAMUTA;37,5;;
150010 ABAETETUBA;18,2;;
150013 ABEL FIGUEIREDO;22,2;;
150020 ACARA;31,8;;
150030 AFUA;42,5;;
150034 AGUA AZUL DO NORTE;24,3;;
150040 ALENQUER;16,7;;
150050 ALMEIRIM;18,6;;
150060 ALTAMIRA;16,9;;
150070 ANAJAS;46,2;;
150080 ANANINDEUA;5,4;;
150085 ANAPU;30;;
150090 AUGUSTO CORREA;30,4;;
150095 AURORA DO PARA;33,3;;
150100 AVEIRO;22,6;;
150110 BAGRE;30,8;;
150120 BAIAO;18,2;;
150125 BANNACH;22,2;;
150130 BARCARENA;12,3;;
150140 BELEM;4,7;;
150145 BELTERRA;18,8;;
150150 BENEVIDES;10,4;;
150157 BOM JESUS DO TOCANTINS;33,2;;
150160 BONITO;29,7;;
150170 BRAGANCA;20,5;;
150172 BRASIL NOVO;23,9;;
150175 BREJO GRANDE DO ARAGUAIA;24,1;;
150178 BREU BRANCO;25,4;;
150180 BREVES;33,3;;
150190 BUJARU;22,3;;
150195 CACHOEIRA DO PIRIA;47,3;;
150200 CACHOEIRA DO ARARI;18,7;;
150210 CAMETA;15,6;;
150215 CANAA DOS CARAJAS;18,6;;
150220 CAPANEMA;16,6;;
150230 CAPITAO POCO;34,4;;
150240 CASTANHAL;12;;
150250 CHAVES;35,3;;
150260 COLARES;13,8;;
150270 CONCEICAO DO ARAGUAIA;21,6;;
150275 CONCORDIA DO PARA;27,8;;
150276 CUMARU DO NORTE;21;;
