;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Taxa de desemprego - Brasil;;;
Taxa de desemprego 16a e+ segundo Município;;;
Período: 2000;;;
Município;Taxa de desemprego 16a e+;;
Fonte: IBGE - Censos Demográficos;;;
Notas:;;;
;;;
1. Taxa de desemprego: Percentual da população de 16 anos e mais, economicamente ativa, desocupada.;;;
;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
TOTAL;14,67;;
110001 ALTA FLORESTA D'OESTE;6,24;;
110002 ARIQUEMES;9,24;;
110003 CABIXI;5,75;;
110004 CACOAL;8,57;;
110005 CEREJEIRAS;10,66;;
110006 COLORADO DO OESTE;9,67;;
110007 CORUMBIARA;3,02;;
110008 COSTA MARQUES;5,94;;
110009 ESPIGAO D'OESTE;4,92;;
110010 GUAJARA-MIRIM;14,84;;
110011 JARU;9,23;;
110012 JI-PARANA;9,75;;
110013 MACHADINHO D'OESTE;6,75;;
110014 NOVA BRASILANDIA D'OESTE;2,81;;
110015 OURO PRETO DO OESTE;7,96;;
110018 PIMENTA BUENO;9,01;;
110020 PORTO VELHO;16,15;;
110025 PRESIDENTE MEDICI;6,86;;
110026 RIO CRESPO;4,56;;
110028 ROLIM DE MOURA;8,99;;
110029 SANTA LUZIA D'OESTE;7,28;;
110030 VILHENA;9,93;;
110032 SAO MIGUEL DO GUAPORE;2,04;;
110033 NOVA MAMORE;12,12;;
110034 ALVORADA D'OESTE;8,08;;
110037 ALTO ALEGRE DOS PARECIS;4,48;;
110040 ALTO PARAISO;3,9;;
110045 BURITIS;3,34;;
110050 NOVO HORIZONTE DO OESTE;7,51;;
110060 CACAULANDIA;4,16;;
110070 CAMPO NOVO DE RONDONIA;1,99;;
110080 CANDEIAS DO JAMARI;14,86;;
110090 CASTANHEIRAS;4,99;;
110092 CHUPINGUAIA;8,35;;
110094 CUJUBIM;3,95;;
110100 GOVERNADOR JORGE TEIXEIRA;5,35;;
110110 ITAPUA DO OESTE;9,89;;
110120 MINISTRO ANDREAZZA;1,84;;
110130 MIRANTE DA SERRA;4,88;;
110140 MONTE NEGRO;3,54;;
110143 NOVA UNIAO;10,98;;
110145 PARECIS;14,84;;
110146 PIMENTEIRAS DO OESTE;13,18;;
